번호,유형,직무,온라인 위임 단위,제공받을 입력,외부·현장 의존과 제외,권한·자격 확인,직무 고유 실패 기준,내용 구체화의 책임,현재 지원 상태,출처
001,위임형,변호사 (민사·상사 송무),"청구 계산표, 소장·답변서·준비서면, 증거목록, 합의안",계약·발주변경·검수서·세금계산서·입금·하자 사진,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,청구액 계산이 맞아도 상계·기한·집행가능 재산을 놓치거나 증거와 주장이 어긋나면 실패,"M18·M25에 청구-항변-증거 관계, M35에 절차 선택, M09·M42에 법원 제출본 검증이 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#001
002,위임형,변호사 (형사 변호),"공소사실 대조표, 변론요지서, 신문사항, 증거 의견·절차별 신청 초안, 통합 일정",공소장·수사기록·압수자료·진술조서·거래원장·기일 통지,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,모든 자료를 요약해도 핵심 진술의 신빙성·증거 사용 쟁점·민사 교차 영향을 못 판단하면 실패,"M04·M34·M43에 공동 방어·이견 심사, M08에 구두 대응, M31·M39에 대리·접견·자격 행위 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#002
003,위임형,변호사 (가사·상속),"재산목록, 주장별 증거표, 분할 계산표, 협의안·신청서 초안",가족관계·유언 원본·증여계약·계좌흐름·지분·부채·평가자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,재산 총액은 맞지만 생전 이전·채무·평가시점 또는 이해충돌을 놓치면 실패,"M25의 사람-재산-시점 관계, M53 평가·분할 계산, M38 가족별 협상·비밀 계약을 채워야 함",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#003
004,위임형,변호사 (행정·조세 송무),"쟁점 메모, 절차별 신청·청구서 초안, 처분 영향·기한표",처분서·송달자료·행정기록·허가조건·회계근거·운영손실 자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,법 해석이 맞아도 처분·관할·기한을 잘못 고르거나 다른 사건 설명과 충돌하면 실패,"M12·M14에 처분별 적용법·판례, M35·M37에 절차 시계, M34에 병행 전략 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#004
005,위임형,변호사 (도산·회생),"회생 관련 신청 초안, 채권조사표, 변제·자금계획, 매각·협상안",채권·담보목록·13주 자금표·수주·재고·보증·분쟁자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,장부상 회수율이 높아도 급여·원재료 대금이 먼저 고갈되거나 핵심 채권이 누락되면 실패,"M33·M53에 자금 시나리오, M25에 채권·담보·보증 연결, M38에 다자 합의 및 M39 자격 수행 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#005
006,위임형,변호사 (기업 자문),"의안·소집자료 검토본, 결의요건표, 진행 시나리오, 의사록 초안, 후속조치표",정관·주주명부·의결권 자료·의안·소집·위임장·거래조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,의사록을 그럴듯하게 써도 실제 결의 사실·권한·안건 조건을 잘못 가정하면 실패,"M27·M31 당사자·권한, M34·M35 안건별 분기, M09·M42 실제 결의와 문서 대조가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#006
007,위임형,변호사 (M&A·투자 거래),"실사보고서, 계약 수정대조본, disclosure 검토표, closing checklist·서류묶음",데이터룸·SPA/SHA 초안·주요계약·주주명부·인허가·소송자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,실사보고서에는 위험을 적었지만 계약·종결조건에 반영하지 않으면 실패,"M25 발견사항-계약조항-종결조건 추적, M38 협상, M40 거래 인수증거 및 M53 세무·재무 연결 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#007
008,위임형,법무사 (등기),"변경등기 신청자료, 첨부목록, 보정대조표, 접수·완료 확인",등기부·정관·의사록·인감·위임·주소·등록세 납부자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,첨부 파일 수가 맞아도 결의일·대표자·위임 범위가 다르면 실패,"M07 구조 추출, M35 원인별 첨부 규칙, M10 등기 경로, M42 접수·등기 결과 대사 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#008
009,위임형,법무사 (개인회생·파산),"채권자·재산목록, 수입지출표, 변제계획안, 보정서류",채권자별 잔액·수입지출·재산·임대차·계좌내역·보정권고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,채무 총액은 맞지만 누락 채권·변동소득·최근 처분 설명이 빠지면 실패,"M52 거래 정리, M53 가용소득 계산, M25 목록 변경전파, M35 보정 및 업무범위 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#009
010,위임형,행정사 (인허가·지원금),"인허가·지원 신청자료, 부서 협의표, 보완답변, 일정·조건 목록",임대차·건축물대장·공정도·설비목록·사업계획·지원공고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,지원금 서류만 완성하고 사업 자체의 인허가 선행 조건을 놓치면 실패,"M12·M13 공고·허가조건, M35 절차 의존, M07 도면·공정 읽기, M10 관청 접수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#010
