쟁점,질문,증거,공격·반대사정,현재 선택·미해결,책임 재료
I01,60억원 거래 전체가 가장 거래인가,"E02,E04,E06,E11",실제 납품 22억은 전부 허위 주장에 반대되지만 나머지 선급금과 가격 공정성을 설명하지 못함,계약 실체·물류·단가를 지급별 대조,"M18,M21,M34"
I02,누가 어떤 재물을 보관·처리했는가,"E02,E04,E12",회사→업체 지급과 업체→개인 사용은 처분 주체·시점이 다름,"선급금 소유·용도 구속, 각 피의자의 역할에 맞춰 죄명 검토","M21,M25,M34"
I03,개인적 이익이 없었다는 진술,"E07,E12,E13",은행 경유와 대화는 초기 진술에 불리함; 단순 계약 실패 방어를 유지할 수 없음,"초기 단정 제거, 자금 출처·지시·반환 계획을 사실별 재면담","M18,M34,M43"
I04,60억원의 이득액과 범죄 단위,"E02,E04,E12",60억원을 주장하는 수사기관과 12억원만 문제라는 방어 모두 범죄 단위 근거 필요,송금별 행위·피해자·범의·이익 취득과 죄수 검토; 원금 대사를 이득액으로 대체 금지,"M21,M53"
I05,8억원 반환의 법적 의미,E04,실제 회수지만 선행 행위의 고의·가중액·완성 시점을 자동 변경하지 못함,"반환 시점·수령자·충당을 분리, 민사 원금 대사와 형사 평가 별도","M18,M21,M53"
I06,28억원 검수 집계의 오류,"E06,E11",6억원은 타 고객 보관품; 숫자만 수정하면 이전 서면이 남음,"납품22·미정산30으로 재계산, 초기 문안은 과거판본으로 보존","M25,M42,M53"
I07,관계회사 거래 적용 대상,"E05,E15",동생 대표와 배우자 60% 지분은 서로 다른 근거,배우자 지배관계를 거래시점 자료로 적용; 친족 일반론 금지,"M12,M18,M21"
I08,이사회 사전 승인·공정성,"E03,E14,E15",4명 찬성 사본에 반대자료; 두 명만 적극 확인. 승인 있더라도 개인 사용·공정성은 별개,"실제 회의와 원본 확인, 적법 승인 완료로 주장하지 않음","M21,M34,M43"
I09,전자자료의 신빙성과 증거능력,"E13,E14",파일 생성일·내보내기 발췌는 단독 진실성 보증이 아님,원본·수집범위·시각·작성자·맥락 확인; 불리한 자기자료 공개도 별도 판단,"M07,M18,M27"
I10,회사와 개인의 수임·정보 경계,"E01,E10,E16","회사는 피해·청구 주체, 개인은 피고. CEO 직함이 회사 소송 처분권이 아님","개인만 대리, 회사 쪽 판단은 독립 주체의 통지로 취급","M27,M31,M32"
I11,회사의 소송 대표와 합의 권한,E16,감사 명의 소송을 대표이사 서명으로 없애려는 선택은 부적절,감사 지위·정관·필요 의사결정·대리인 특별수권을 확인,"M21,M31,M38"
I12,30억원 민사 청구와 중복 손해,"E04,E11,E12,E16",미정산30 안의 개인경유12를 더하면 동일 원천을42로 중복 계산,"원고의 손해·인과·이익 공제·책임 범위별 공격, 법률상 손해 자동 확정 금지","M21,M53"
I13,부분 반환 3억원의 상태,"E18,E19,E20","타임아웃 당시 완료 불명, 조회 후 입금1회. 수령과 포괄 합의는 별개",P01 조회 후 영수증 확인; 재전송과 합의완료 표시를 차단,"M03,M10,M38,M47"
I14,정관 변경과 이사 선임,"E09,E17","예상45000/69000은 보통결의 수치 통과, 특별결의 수치 미달",정원 확대가 신규 선임의 선행조건인지 확인; 선임만 산술통과해도 취임확정 금지,"M21,M25,M53"
I15,구속 사유와 참고인 접촉,"E08,E21",직접 지시 불명이어도 비서의 접촉 정황은 위험 평가에 불리함,자료보존·추가접촉중단·원문확인; 직업·주소만으로 위험 부정 금지,"M21,M34,M35"
I16,회사·개인 자금의 분리,"E10,E18,E19",회사 가용22에서12를 지급하면 운영여유10<16이며 개인 처분권도 없음,개인3과 매각미확정10을 구분; 당장12변제 약속 불가,"M31,M33,M53"
I17,긴급 전문 검토의 배치,E22,총28시간이 두 사람30시간 안이어도 선행조건과 연속작업 때문에15시간내 완료 불가,세 번째 적격 검토자 투입 시12시간 경로; 실제 수행 성적은 별도,"M04,M35,M53"
I18,영장 발부 후 절차 전환,"E23,E24",영장기각용 의견서의 요청은 시점 경과. 아직 기소 전,접견·발부이유·새 근거 확인 후 적부심 검토; 종전 의견서를 현 단계 신청으로 재사용 금지,"M12,M25,M35"
