번호,유형,직무,초기 복합 사건,주입1,선택1·재료,주입2,선택2·재료,첫 전개 도달 상태,첫 판정,보완 후 재전개,최종 판정,검토 방식
001,위임형,변호사 (민사·상사 송무),"납품업체가 미수금을 청구하자 구매자가 불량과 지체를 이유로 상계하고, 일부 물품을 제3자가 사용한 사실이 나옴",검수서 원본에서 20% 수량 미인도 확인,M18·M25: 전액 청구 전제를 폐기하고 인도분·하자 항변·증거를 분리,구매자가 인정 금액만 분할 지급 제안,M34·M38·M53: 회수 시점·담보·분쟁비용을 비교해 조건부 합의안 작성,"청구 계산·서면·합의 대안까지 연결, 지급·재판 결과는 미정",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
002,위임형,변호사 (형사 변호),"총수가 여러 거래로 기소되고 직원 진술은 바뀌는데, 회사 민사소송의 거래 설명과 개인의 방어 논리가 충돌함",직원의 번복 진술과 결재 원본이 총수·회사 주장에 서로 다르게 작용,M18·M25·M27: 공소사실별 근거를 갱신하고 의뢰인·비밀·기존 서면 영향을 분리,긴급 구속 관련 일정과 민사 제출 일정이 겹침,M04·M35·M43: 형사·민사 전문 판단을 교차 검토하고 기한별 제출·출석 계획 재배정,방어 전략·신문·서면 경로는 있으나 법원 판단·전문 수행은 외부 의존,외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
003,위임형,변호사 (가사·상속),재혼가족이 비상장회사 주식과 부동산을 상속받는데 생전 증여와 유언 진정성을 서로 다르게 주장함,"유언 사본과 다른 원본 발견, 비상장주식 유동성 없음",M18·M25·M53: 유언 효력 가정과 재산가액·현금 조달을 별도 분기,한 상속인이 지분 유지와 즉시 전액 현금을 동시에 요구,M34·M38: 지분·현금·기간 제약을 대조하고 요구 충돌을 명시,"모든 요구 동시 충족 불가, 분할·매각·기간 중 목표 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
004,위임형,변호사 (행정·조세 송무),"공장이 처분으로 운영 중단 위기에 놓이고 세무처분도 같은 거래 사실을 문제 삼아, 구제절차와 사업 일정을 동시에 관리해야 함",처분 통지 시점이 기존 기록보다 빠르고 공장 중단일 확정,"M18·M35·M37: 절차 시계와 운영 영향 재계산, 임시 구제·본안 병행 준비",기관이 핵심 현장 사실을 부인하고 추가 조사 예고,M07·M39·M43: 현장 근거 취득과 반박·보완 제출 연결,신청·주장은 준비 가능하나 처분 변경·현장 확인까지 완료할 수 없음,외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
005,위임형,변호사 (도산·회생),"제조기업이 지급불능 위기인데 수주잔고는 남아 있고, 은행 담보·계열 보증·핵심 납품사의 공급중단이 얽힘","주요 고객 선수금 취소로 가용 현금 3, 필요 운영비 5",M33·M53: 흑자 회생안도 단기 지급불능임을 검출,신규 자금·공급 유예·자산 매각이 모두 거절됨,"M34·M38: 가동 유지안 폐기, 사업 축소·정리 대안으로 전환","원래 규모의 계속 영업 목표 불가능, 정리·축소 결정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
006,위임형,변호사 (기업 자문),이사 선임과 정관 변경을 추진하는 주총에서 위임장 진위·특수관계 거래·대표권이 다투어지고 총수와 회사의 이익이 갈림,위임장 중복과 대표권 다툼 발견,M27·M31·M35: 표결 대상·유효 권한을 재확인하고 의안별 절차 분리,회사와 총수가 서로 다른 의사록 기재 요구,M18·M25·M43: 실제 진행 기록과 각 요청을 대조하고 허위 기재를 배제,"진행안·조건별 의사록 준비, 실제 결의·대표권 확인은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
007,위임형,변호사 (M&A·투자 거래),"투자계약 직전 핵심 고객의 계약 해지권과 미공개 소송이 발견되고, 매도자는 계약 수정 없이 잔금 지급을 요구함",핵심 고객의 해지권이 종결 후에도 존속함을 발견,M25·M34: 발견사항을 가격·선행조건·배상 조건에 연결,"매도자가 보증도 가격 조정도 거부, 매수자는 손실 한도 변경 불허",M33·M38: 잔여 노출이 위임 한도를 넘는지 확인하고 종결 보류,"현재 양측 조건에서 거래 성사 불가능, 조건 변경 또는 철회 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
008,위임형,법무사 (등기),법인의 이사 교체와 본점 이전 등기 접수 직전에 의사록·정관·등기부의 인적사항과 대표권 자료가 불일치함,접수 직전 담보 순위가 바뀌고 대리권 증빙 유효성에 의문,M18·M31: 이전 열람·위임 확인을 무효화하고 최신 원본 조회,외부 등기 조회가 중단되어 현재 순위 확인 불가,M10·M35·M39: 기한·대체 확인 경로를 추적하고 미확인 상태 제출 차단,서류 작성은 가능하지만 권리 확인·접수 완료는 대기,외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
009,위임형,법무사 (개인회생·파산),자영업자의 카드채무와 보증채무가 섞이고 최근 재산 처분과 가족 송금의 설명이 부족해 보정 요청이 옴,누락 채무와 최근 가족 송금 확인,M52·M25: 채권자·재산·가용소득 목록과 관련 신청자료 재대사,법원이 소득 지속성 보완을 요구하나 고용 자료 미도착,M35·M39: 보완 항목·기한·취득 책임을 연결,"수정 초안까지 가능, 외부 소득 근거·법원 결과 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
010,위임형,행정사 (인허가·지원금),임차 공장에 새 공정을 들이려는데 토지·건축 용도와 환경 관련 조건이 맞지 않고 지원금 신청서에는 설치 완료를 전제로 씀,공장 신청 도면과 실제 용도가 다르고 지원사업 전제도 달라짐,M07·M12·M35: 허가·지원 조건과 도면·공정의 연결을 재검토,지자체의 현장 보완 요구와 지원 마감이 겹침,M35·M39: 현장 수행·보완·신청 순서를 조정하고 미충족 조건 표시,신청 묶음은 정리되나 현장·기관 판단 없이 승인 완료 불가,외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
011,위임형,행정사 (출입국·비자),취업 외국인이 고용주를 옮기는데 직무·학력 증빙과 새 고용계약이 맞지 않고 가족의 체류 일정도 다름,고용 종료와 가족관계 변동이 기존 체류 신청 전제를 바꿈,M25·M12·M13: 자격별 전제·서류·기한을 다시 구성,증빙 발급이 지연되고 기관 대면 확인 요청,M35·M39: 대체 증빙 가능성을 확인하고 대면·기한 경로 연결,"제출·보완 계획 가능, 증빙·신원 확인·결정은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
012,위임형,공증인,회사 대표를 대신한 대리인이 채무 문서 공증을 요청하지만 위임 내용이 문서 금액·조건과 다르고 상대는 즉시 발급을 요구함,촉탁 금액이 위임 범위를 초과함,M31·M27: 문안 작성과 공증 권한을 구분하고 초과 범위 중단,대표자의 의사 확인이 미완료인데 상대가 발급 재촉,M39·M40: 자격 수행·의사 확인·발급 기록의 인수 조건 유지,"공증용 초안만 가능, 실제 공증 효력은 생성할 수 없음",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
013,위임형,변리사 (특허),"공개 예정인 제품의 차별점이 심사관이 찾은 선행기술과 겹치고, 넓은 청구항을 지키려다 명세서에 없는 사항을 추가할 위험이 생김",선행문헌이 핵심 구성 일부를 공개한 것으로 확인,M19·M25·M34: 청구항별 근거·차별 구성·기재 범위를 재정렬,발명자가 미기재 구성을 추가해 달라고 요청,M18·M35·M43: 원출원 근거와 변경안을 대조하고 보정·별도 검토 경로 분리,"명세·청구·보정 대안 준비, 심사 판단과 발명 사실 확인 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
014,위임형,변리사 (상표·디자인),신제품 출시 직전 유사 이름의 선등록과 기존 디자인 공개가 발견돼 이름·상품범위·출시 일정을 같이 결정해야 함,유사 표장이 같은 고객군에서 사용 중이라는 자료 도착,M07·M14·M34: 도형 유사성뿐 아니라 사용·범위·출시 대안 검토,출시팀이 이름 변경을 거부하고 심사 일정은 확정 불가,M25·M38: 자산 변경 비용과 권리 위험·대체 출시안을 함께 제시,"출원·브랜드 대안 가능, 권리 확보·분쟁 종결은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
015,위임형,변리사 (심판·분쟁),상대 제품의 비공개 공정 때문에 구성요소 충족이 불명확한데 소송·무효심판·라이선스 협상이 동시에 진행됨,분해 실측이 도면과 달라 기존 구성요소 대응표가 뒤집힘,M07·M18·M25: 추정 구성을 실측과 분리하고 주장·증거표 갱신,상대가 일부 실시품 제공을 거절하고 합의 범위 확대 요구,M34·M38·M43: 입증 한계와 합의 파급을 반영해 전략 분기,"기술 분석·심판 자료 가능, 증거 접근·판정·합의는 미정",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
016,위임형,세무사 (신고·기장),온라인몰의 주문액·PG 정산액·환불액이 다르고 해외 매출과 개인 사용 경비가 섞여 신고 초안이 틀어짐,정산 수수료를 매출 차감과 비용에 중복 반영한 사실 확인,M52·M53: 원거래→정산→입금 대사로 중복 제거,누락 환불 자료가 도착하고 가상 검산기가 수정 세액 일치를 반환,M25·M42: 영향 전표·세무조정·신고 초안을 갱신하고 검산,주어진 자료·계산 규칙에서 장부·신고 초안 종결 경로 있음; 실제 신고는 별도,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
017,위임형,세무사 (상속·증여·가업 승계),가족기업 승계에서 비사업 자산·과거 증여·후계자 경영 참여·납부 현금이 쟁점인데 가족은 지분을 균등 분할하려 함,절세안의 사후조건과 사업 투자에 필요한 현금이 충돌,M25·M53: 세액만 비교하던 안을 다기간 현금·유지조건으로 전환,가족은 동일 지배력·동일 현금 지급을 모두 고수하고 외부 자금 없음,M34·M38: 제약을 고정한 채 가능한 대안이 없는지 확인,세금 최소·지배력 유지·즉시 지급의 동시 목표 조정 필요,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
018,위임형,세무사 (조사·불복),조사팀이 가공경비를 의심하지만 장부에는 거래가 있고 공급자는 폐업해 거래 실질을 설명할 자료가 부족함,원장과 은행 거래가 달라 거래 실질에 두 설명이 존재,M18·M34: 설명별 지지·반대 근거와 불리한 해석을 유지,조사팀이 새 기간 자료를 요구하며 해석을 확정하지 않음,M35·M38·M47: 제출 범위·시점·설명의 일관성과 후속 불복 경로 관리,"대응안·증거 묶음 가능, 해석 다툼·기관 결과는 미정",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
019,위임형,기장 대행,사업주가 법인카드로 개인 지출을 하고 카드 취소가 다음 달 반영돼 현금잔액과 비용이 맞지 않음,같은 영수증이 카드와 비용 정산에 이중 입력됨,M52·M21: 결제·증빙 키와 거래 의미로 중복 전표 후보 분리,거래처 확인과 통장 대사가 하나의 결제임을 확인,M25·M42: 중복 분개 취소·잔액·마감 영향 재계산,주어진 거래 묶음의 기장·대사 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
020,위임형,회계사 (감사),재고 실사 차이가 크고 기말 매출이 급증했는데 결산 후 반품이 늘고 외부조회 회신도 부족함,실사 재고와 장부가 다르고 기말 매출의 검수도 미완료,M18·M35: 감사 주장별 추가 절차·추정·정정 영향 연결,경영진이 외부조회와 핵심 자료 제공을 제한,M27·M39·M43: 증거 제한·의견 판단을 구분하고 자격자의 책임·기여 기록,미확인 영역을 숨기지 않는 경로는 있으나 감사의견 확정은 외부 의존,외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
021,위임형,회계사 (자문·실사),인수 대상의 EBITDA에 일회성 보조금이 포함되고 매출채권 회수와 재고 가치가 부풀려져 정상 운전자본이 다툼이 됨,반복매출로 분류한 계약에 일회성 설치비와 취소분이 섞임,M52·M53: 수익의 질·정상화 EBITDA·운전자금 재작성,매도자가 자료 수정을 인정하고 가상 원장 대사도 일치,M25·M42: 발견사항을 가격 조정·계약 인계에 반영,재무실사·가격 조정 근거 패키지 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
022,위임형,관세사,복합 전자제품의 세번이 다투어지고 해외산 부품으로 바뀐 뒤에도 공급사가 예전 원산지 확인서를 보냄,부품 변경으로 기능·원산지 계산 전제가 바뀜,M07·M25·M53: 제품 판본별 분류·원산지 증빙을 재연결,공급사가 옛 확인서만 제공하고 기관 사전심사 미회신,M18·M35·M39: 미확정 분류·증빙과 신고 일정의 대안 관리,"심사·신고 준비 가능, 물품 사실·기관 판단 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
023,위임형,노무사 (자문·급여),합병한 두 회사의 고정수당과 교대근무 기록이 달라 초과근로수당 소급 정산과 임금체계 개편을 함께 요구받음,근태 누락과 보상항목 해석 차이가 급여를 바꿈,M52·M53: 사실 대사와 적용 해석을 분리해 계산,근태 원본과 이 업무에 고정한 급여 규칙이 확인됨,M21·M42: 대상자별 재계산·소급 영향·명세서 대사,명시된 규칙과 자료 아래 급여 정정 패키지 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
024,위임형,노무사 (분쟁 대리),저성과 해고의 평가 기록이 사후 작성됐다는 주장이 나오고 노조 활동·괴롭힘·임금 쟁점이 함께 제기됨,해고 사유 기록이 뒤늦게 작성됐다는 메타데이터 발견,M18·M35: 사건 시간축·진술·입증 계획을 수정,노동위원회 이후 법원 단계 검토가 필요해짐,M27·M39: 절차별 업무 범위와 담당 전문 수행을 분리,"주장·증거·절차 준비 가능, 심판 결과·후속 대리는 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
025,위임형,노무사 (산재),장기간 여러 공장에서 일한 근로자가 질병을 진단받았지만 작업환경 측정과 과거 업무 기록이 부족하고 회사가 관련성을 부인함,노출 이력과 의학 소견이 어긋나 직업성 가설이 갈림,M18·M25: 작업·시간·의학 의견을 분리하고 추가 근거 지정,사업주가 현장자료 제출을 거부하고 추가 의료평가 지연,M35·M39: 취득·보완 경로·기한·미확인 인과를 유지,"산재 자료·신청 경로 가능, 인과 판단·기관 결과는 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
