검사,통과,관측
C01 원금 대사 단계별 재계산,True,"[24, 30, 30, 27]"
C02 미래 증거 접근 거부와 공개 후 허용,True,"{""before"": false, ""after"": true}"
C03 납품 정정 뒤 구판 합격 무효화,True,"{""depends"": [""delivered"", ""returned""], ""stale"": true, ""external_copy"": false}"
C04 이미 전달된 사본의 이력 보존,True,"""synthetic copy preserved, correction review required; no real filing occurred"""
C05 같은 원천 금액의 중복 합산 반례,True,"{""union"": 30, ""naive_addition"": 42, ""subset_relation"": true}"
C06 대사값을 형사 이득액으로 전용 거부,True,"{""candidate"": {""amount"": 27, ""purpose"": ""principal_reconciliation"", ""unit"": ""KRW_100M""}, ""requested_purpose"": ""criminal_gain"", ""allowed"": false}"
C07 개인정보 공유의 수신자 경계,True,"{""personal_internal"": true, ""company_automatic_share"": false}"
C08 회사 접근권을 개인 위임으로 대체하지 않음,True,"{""client"": ""강도윤 개인"", ""company_access"": false}"
C09 결과 불명에서 재송금 대신 조회,True,"{""stage7"": ""query_only"", ""stage8"": ""reuse_receipt""}"
C10 모의 은행 입금 1회 유지,True,"{""ledger"": {""P01"": 3}, ""retries"": 0, ""naive_retry_total"": 6}"
C11 수령 확인과 합의 미성립의 공존,True,"{""receipt"": 3, ""settlement"": ""rejected""}"
C12 철회 전후 안건별 판정,True,"{""before"": {""ordinary"": true, ""special"": true}, ""after"": {""ordinary"": true, ""special"": false}}"
C13 찬성 확보 방식에 따른 분모 변화,True,"{""existing_attendee_switch"": 1000, ""new_attendee"": 3000, ""naive_new_1000_passes"": false}"
C14 보통결의 수치 충족과 선임 선행조건 분리,True,"{""branch"": ""no vacant seat and expansion not passed"", ""appointment_confirmed"": false}"
C15 회사 자금 전략의 여유 제약,True,"{""remaining"": 10, ""minimum"": 16, ""personal_authority"": false}"
C16 미래 매각액을 당일 확정재원으로 사용 거부,True,"{""initial_available"": 3, ""final_available"": 0, ""unconfirmed_sale_day14"": 10, ""promise_12_today_supported"": false}"
C17 총량 여유가 있어도 기한 내 배치 실패,True,"{""total_work"": 28, ""aggregate_capacity"": 30, ""minimum_schedule"": {""hours"": 18, ""assignments"": [{""task"": ""funds"", ""reviewer"": 1, ""start_hour"": 0, ""end_hour"": 8}, {""task"": ""forensic"", ""reviewer"": 1, ""start_hour"": 8, ""end_hour"": 16}, {""task"": ""legal"", ""reviewer"": 2, ""start_hour"": 0, ""end_hour"": 10}, {""task"": ""merge"", ""reviewer"": 1, ""start_hour"": 16, ""end_hour"": 18}]}}"
C18 세 번째 적격 검토자 투입 일정,True,"{""hours"": 12, ""assignments"": [{""task"": ""funds"", ""reviewer"": 1, ""start_hour"": 0, ""end_hour"": 8}, {""task"": ""forensic"", ""reviewer"": 2, ""start_hour"": 0, ""end_hour"": 8}, {""task"": ""legal"", ""reviewer"": 3, ""start_hour"": 0, ""end_hour"": 10}, {""task"": ""merge"", ""reviewer"": 1, ""start_hour"": 10, ""end_hour"": 12}]}"
C19 영장 발부 뒤 과거 절차 문안 재사용 거부,True,"{""document_phase"": ""pre_arrest"", ""current_phase"": ""detained_preindictment"", ""allowed"": false}"
C20 법령 적용시점 검사,True,"{""reference_label"": ""2027-12-31"", ""as_of"": ""2026-09-10"", ""automatically_applicable"": false, ""note"": ""date gate only; transition provisions need legal review""}"
C21 의결 경계값,True,"{""ordinary_half"": false, ""ordinary_half_plus_one"": true, ""special_exact_two_thirds"": true, ""special_one_short"": false}"
C22 증거 파일 무결성,True,"{""files"": 24, ""meaning"": ""file integrity only, not factual truth""}"
C23 작성한 초안의 시점·수신자 메타데이터 검사,True,"{""path"": ""산출물/03_영장심문_의견서_초안_v2.md"", ""evidence"": [""E02"", ""E03"", ""E04"", ""E06"", ""E11"", ""E12"", ""E14"", ""E15"", ""E19"", ""E21""], ""basis"": {""delivered"": 22, ""personal_paid"": 3, ""approval"": ""disputed""}, ""phases"": [""pre_arrest""], ""recipients"": [""personal_counsel""], ""claims"": [{""source_purpose"": ""principal_reconciliation"", ""use_as"": ""principal_reconciliation""}]}"
C24 결함을 주입한 산출 메타데이터 5종 차단,True,"[{""injected_metadata_defect"": ""future_evidence"", ""expected"": ""future_evidence"", ""observed"": [""future_evidence""], ""blocked"": true}, {""injected_metadata_defect"": ""old_amount"", ""expected"": ""stale_basis"", ""observed"": [""stale_basis""], ""blocked"": true}, {""injected_metadata_defect"": ""old_phase"", ""expected"": ""wrong_procedural_phase"", ""observed"": [""wrong_procedural_phase""], ""blocked"": true}, {""injected_metadata_defect"": ""company_recipient"", ""expected"": ""unauthorized_recipient"", ""observed"": [""unauthorized_recipient""], ""blocked"": true}, {""injected_metadata_defect"": ""amount_purpose"", ""expected"": ""amount_meaning_mismatch"", ""observed"": [""amount_meaning_mismatch""], ""blocked"": true}]"
