번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
001,위임형,법률 (소송),변호사 (민사·상사 송무),물품대금 회수; 공사대금·하자 손해배상 대응,"납품업체가 미수금을 청구하자 구매자가 불량과 지체를 이유로 상계하고, 일부 물품을 제3자가 사용한 사실이 나옴",계약·발주변경·검수서·세금계산서·입금·하자 사진,채권 발생과 금액을 거래별 대사 → 검수·하자·상계의 다툼을 분리 → 추가 증거와 회수가능성을 보고 소송·보전·합의 경로 비교,"청구 계산표, 소장·답변서·준비서면, 증거목록, 합의안",청구액 계산이 맞아도 상계·기한·집행가능 재산을 놓치거나 증거와 주장이 어긋나면 실패,"M18·M25에 청구-항변-증거 관계, M35에 절차 선택, M09·M42에 법원 제출본 검증이 필요",https://scourt.go.kr/judiciary/duty/civil/ | https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work,문서상 책임 배치·보완 분석 / 실제 실행 미검증
002,위임형,법률 (소송),변호사 (형사 변호),수사 입회·방어 준비; 공판·구속 관련 대응,"총수가 여러 거래로 기소되고 직원 진술은 바뀌는데, 회사 민사소송의 거래 설명과 개인의 방어 논리가 충돌함",공소장·수사기록·압수자료·진술조서·거래원장·기일 통지,공소사실별 행위·인식·근거를 나눔 → 증거와 반대 설명을 대조 → 담당 전문 팀과 신문·서면·긴급 절차를 조정하고 새 진술에 따라 재계획,"공소사실 대조표, 변론요지서, 신문사항, 증거 의견·절차별 신청 초안, 통합 일정",모든 자료를 요약해도 핵심 진술의 신빙성·증거 사용 쟁점·민사 교차 영향을 못 판단하면 실패,"M04·M34·M43에 공동 방어·이견 심사, M08에 구두 대응, M31·M39에 대리·접견·자격 행위 경계 필요",https://people.scourt.go.kr/judiciary/duty/criminal/index.html | https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work,문서상 책임 배치·보완 분석 / 실제 실행 미검증
003,위임형,법률 (소송),변호사 (가사·상속),이혼 재산분할·양육 협의; 상속재산 분할,재혼가족이 비상장회사 주식과 부동산을 상속받는데 생전 증여와 유언 진정성을 서로 다르게 주장함,가족관계·유언 원본·증여계약·계좌흐름·지분·부채·평가자료,재산의 귀속·평가기준·당사자 주장을 분리 → 확인할 자료 선정 → 분할안별 현금·지배권·분쟁 후속 영향을 비교하고 합의 또는 절차 준비,"재산목록, 주장별 증거표, 분할 계산표, 협의안·신청서 초안",재산 총액은 맞지만 생전 이전·채무·평가시점 또는 이해충돌을 놓치면 실패,"M25의 사람-재산-시점 관계, M53 평가·분할 계산, M38 가족별 협상·비밀 계약을 채워야 함",https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work | https://www.onetonline.org/link/summary/13-2052.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
004,위임형,법률 (소송),변호사 (행정·조세 송무),영업정지·허가거부 다툼; 과세처분 불복,"공장이 처분으로 운영 중단 위기에 놓이고 세무처분도 같은 거래 사실을 문제 삼아, 구제절차와 사업 일정을 동시에 관리해야 함",처분서·송달자료·행정기록·허가조건·회계근거·운영손실 자료,처분·절차별 다툴 대상과 시계를 확인 → 사실오인·적용 해석·회복 곤란 손실을 구별 → 임시 구제와 본안의 주장·증거를 연결,"쟁점 메모, 절차별 신청·청구서 초안, 처분 영향·기한표",법 해석이 맞아도 처분·관할·기한을 잘못 고르거나 다른 사건 설명과 충돌하면 실패,"M12·M14에 처분별 적용법·판례, M35·M37에 절차 시계, M34에 병행 전략 필요",https://scourt.go.kr/judiciary/duty/civil/ | https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work | https://ems.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=239048&mi=40999,문서상 책임 배치·보완 분석 / 실제 실행 미검증
005,위임형,법률 (소송),변호사 (도산·회생),기업회생·채무 재조정; 채권자 회수전략,"제조기업이 지급불능 위기인데 수주잔고는 남아 있고, 은행 담보·계열 보증·핵심 납품사의 공급중단이 얽힘",채권·담보목록·13주 자금표·수주·재고·보증·분쟁자료,존속·청산·매각 대안과 현금 생존기간 산정 → 이해관계자군별 조건 협의 → 계획 실행 중 수주취소가 생기면 변제·운영안을 갱신,"회생 관련 신청 초안, 채권조사표, 변제·자금계획, 매각·협상안",장부상 회수율이 높아도 급여·원재료 대금이 먼저 고갈되거나 핵심 채권이 누락되면 실패,"M33·M53에 자금 시나리오, M25에 채권·담보·보증 연결, M38에 다자 합의 및 M39 자격 수행 필요",https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work | https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
006,위임형,법률 (자문),변호사 (기업 자문),이사회·주총 자문; 영업계약·규제 검토,이사 선임과 정관 변경을 추진하는 주총에서 위임장 진위·특수관계 거래·대표권이 다투어지고 총수와 회사의 이익이 갈림,정관·주주명부·의결권 자료·의안·소집·위임장·거래조건,회사의 적법한 결정권과 안건별 요건 확인 → 선행 조건·이해충돌·다툼을 표시 → 진행안·대체안·기록 방식과 사후 이행을 설계,"의안·소집자료 검토본, 결의요건표, 진행 시나리오, 의사록 초안, 후속조치표",의사록을 그럴듯하게 써도 실제 결의 사실·권한·안건 조건을 잘못 가정하면 실패,"M27·M31 당사자·권한, M34·M35 안건별 분기, M09·M42 실제 결의와 문서 대조가 필요",https://scourt.go.kr/judiciary/duty/civil/ | https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work,문서상 책임 배치·보완 분석 / 실제 실행 미검증
007,위임형,법률 (자문),변호사 (M&A·투자 거래),기업 인수 법률실사; 투자계약·거래 종결,"투자계약 직전 핵심 고객의 계약 해지권과 미공개 소송이 발견되고, 매도자는 계약 수정 없이 잔금 지급을 요구함",데이터룸·SPA/SHA 초안·주요계약·주주명부·인허가·소송자료,실사 발견사항을 가치·종결조건·보증·배상에 연결 → 협상 가능한 위험과 거래를 멈출 위험을 분리 → 조건 충족 증거를 보고 종결 준비,"실사보고서, 계약 수정대조본, disclosure 검토표, closing checklist·서류묶음",실사보고서에는 위험을 적었지만 계약·종결조건에 반영하지 않으면 실패,"M25 발견사항-계약조항-종결조건 추적, M38 협상, M40 거래 인수증거 및 M53 세무·재무 연결 필요",https://www.onetonline.org/link/summary/13-2011.00 | https://scourt.go.kr/judiciary/duty/civil/,문서상 책임 배치·보완 분석 / 실제 실행 미검증
008,위임형,법률 (등기·행정),법무사 (등기),부동산 소유권·담보 등기; 법인 변경등기,법인의 이사 교체와 본점 이전 등기 접수 직전에 의사록·정관·등기부의 인적사항과 대표권 자료가 불일치함,등기부·정관·의사록·인감·위임·주소·등록세 납부자료,등기 원인과 대상별 필요한 서류 대조 → 불일치가 오기인지 유효성 다툼인지 구별 → 권한 있는 정정·보완 뒤 접수와 보정 상태 확인,"변경등기 신청자료, 첨부목록, 보정대조표, 접수·완료 확인",첨부 파일 수가 맞아도 결의일·대표자·위임 범위가 다르면 실패,"M07 구조 추출, M35 원인별 첨부 규칙, M10 등기 경로, M42 접수·등기 결과 대사 필요",https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work,문서상 책임 배치·보완 분석 / 실제 실행 미검증
009,위임형,법률 (등기·행정),법무사 (개인회생·파산),개인회생 신청서류; 개인파산·면책 자료 정리,자영업자의 카드채무와 보증채무가 섞이고 최근 재산 처분과 가족 송금의 설명이 부족해 보정 요청이 옴,채권자별 잔액·수입지출·재산·임대차·계좌내역·보정권고,누락 채권과 재산변동을 대사 → 설명 가능한 사실과 다툼을 구별 → 실제 가용소득에 맞게 자료·계획을 수정하고 보정 이행 확인,"채권자·재산목록, 수입지출표, 변제계획안, 보정서류",채무 총액은 맞지만 누락 채권·변동소득·최근 처분 설명이 빠지면 실패,"M52 거래 정리, M53 가용소득 계산, M25 목록 변경전파, M35 보정 및 업무범위 경계 필요",https://www.scourt.go.kr/nm/minwon/doc/DocListAction.work,문서상 책임 배치·보완 분석 / 실제 실행 미검증
010,위임형,법률 (등기·행정),행정사 (인허가·지원금),공장·영업 인허가 신청; 지원사업 신청·보완,임차 공장에 새 공정을 들이려는데 토지·건축 용도와 환경 관련 조건이 맞지 않고 지원금 신청서에는 설치 완료를 전제로 씀,임대차·건축물대장·공정도·설비목록·사업계획·지원공고,입지·공정·설비별 관청 협의 항목 확인 → 허가와 지원사업의 선후 조건 분리 → 시설 변경·사업계획 수정 또는 다른 지원 경로 비교,"인허가·지원 신청자료, 부서 협의표, 보완답변, 일정·조건 목록",지원금 서류만 완성하고 사업 자체의 인허가 선행 조건을 놓치면 실패,"M12·M13 공고·허가조건, M35 절차 의존, M07 도면·공정 읽기, M10 관청 접수 필요",https://factoryon.go.kr/mobile/bbs/faqBbsList.do,문서상 책임 배치·보완 분석 / 실제 실행 미검증
