ID,사건번호,선고일,사건명,필수분기,재구성한답,재료,미해결조건,변형입력,기대반응,자율실행,원본SHA256,원본경로
C01,96도3376,19970417,12·12 및 5·18: 집단범죄·시효·명령·죄수,상관 명령을 받은 가담자에게 어느 범행의 책임을 어디까지 물을 수 있는가?,정권 장악이 가벌성을 없애지 않고 위법한 명령이 면책을 만들지 않는다. 반란 전체의 책임과 개별 살인죄 책임은 공동실행 의사 등을 구분해야 한다. 특별법의 시효 적용도 별도 쟁점이다.,M12 M14 M18 M21 M25 M34 M35 M36 M43,공통 책임은 있으나 집단범죄의 책임 귀속·죄수·시효를 채운 법률 계약과 검증 증거는 확인되지 않았다. 사건 전체에 유죄 한 값을 붙이면 실패한다.,특정 살인에 대한 지시·용인 증거만 미확인으로 바꾼다.,반란 가담 자료까지 삭제하지 않되 개별 살인의 공동정범을 자동 확정하지 않고 쟁점별 증명 상태를 다시 판단한다.,미실시,d5bc5281b2fb5b3c7b04cba352e5c11290c7b6e102701a25037d58eba9e1a307,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/209155_반란수괴·반란모의참여·반란중요임무종사·불법진퇴·지휘관계엄지역수소이탈·상관살해·상관살해미수·초병살해·내란수괴·내란모의참여·내란중요임무종사·내란목적.json
C02,2003도3516,20031010,분식회계·연쇄 대출·국외 자금: 거래마다 다른 사기와 배임,허위 재무제표가 있으면 모든 대출이 사기이고 대환은 항상 손해인가?,기망과 대출의 인과관계는 기관별로 달랐다. 대환도 자금의 실제 교부·처분 가능성과 회수 가능성을 확인해야 한다. 선이자 공제와 장부상의 상환을 실질 손해·채무 면제와 혼동하면 안 된다.,M17 M18 M21 M25 M34 M42 M52 M53,자료 결합·계산은 배정 가능하지만 거래별 인과관계와 법적 손해액의 정의가 채워져야 한다. 정확한 합계만으로 배임을 판정할 수 없다.,한 금융기관은 분식을 알고도 대출했으며 다른 기관은 이를 알았다면 대출하지 않았다는 자료를 제공한다.,동일 차주의 대출이라도 기망의 인과관계를 나누고 반대 방향 결론을 허용한다.,미실시,649b230898fdfe49709c7cc11a6714e1ae54fc0c89337cc6f424513b26ee3522,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/67148_특정경제범죄가중처벌등에관한법률위반(배임)·특정경제범죄가중처벌등에관한법률위반(사기)·사기·종합금융회사에관한법률위반·사문서위조·위조사문서행사·특정경.json
C03,2018도13792,20190829,국정농단: 전문증거·뇌물 귀속·강요,진술 문서를 정황증거로 넣은 뒤 그 내용의 진실을 인정할 수 있는가?,진술했다는 사실과 진술 내용의 진실 증명은 다르다. 형식상 소유권 이전 없이도 뇌물의 실질적 사용·처분권을 취득할 수 있다. 지위에 기초한 요구만으로 강요의 협박이 바로 성립하지는 않는다.,M07 M14 M18 M21 M25 M34 M43 M47,출처의 신뢰성·해시·보고자 인증만으로 증거능력이 생기지 않는다. 증거능력·증명력·사용 목적을 구분한 법률 하위 계약이 필요하다.,같은 진술 문서의 사용 목적을 발언 존재에서 발언 내용의 진실로 변경한다.,기존 검사 통과를 그대로 쓰지 않고 전문증거 요건을 다시 검토한다.,미실시,9164bf092e9981f552c5dc41f43de296d03bdcb0204dfd385fd2f02490f65823,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/225457_직권남용권리행사방해·강요(일부인정된죄명_강요미수)·강요미수·사기미수·증거인멸교사·특정범죄가중처벌등에관한법률위반(뇌물)·특정범죄가중처벌등에관한법률.json
C04,2015도6809,20151112,세월호: 부작위 살인과 선원별 책임,퇴선한 승무원 모두를 동일하게 부작위 살인의 공동정범으로 볼 수 있는가?,구조의무가 있다고 살인의 고의와 작위 동가치성이 자동 인정되지는 않는다. 선장과 1·2등 항해사의 지배·역할·고의를 구분하며 해당 항해사들의 살인 공모를 단정하지 않은 판단이 유지되었다.,M17 M18 M21 M25 M34 M43 M54,범용 대안 비교는 가능하지만 사람마다 다른 형사 증명 기준과 부작위 귀속을 채우지 않으면 집단 책임으로 오염된다. 새 현장 증거 확보는 별도 의존이다.,특정 승무원에게 실제 구조 지시권·상황 인지가 없었다는 반대 자료를 추가한다.,그 승무원의 고의·행위지배를 재검토하고 다른 피고인의 인정 사실과 분리한다.,미실시,d896764e81e50c6594650bd23dcffe99f1dc111e57008a3a5176f758e41297fe,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/209175_살인(①피고인1에대하여일부제1예비적죄명및일부인정된죄명_특정범죄가중처벌등에관한법률위반·제2예비적죄명_유기치사②피고인2에대하여인정된죄명_특정범죄가중.json
C05,2011모1839,20150716,전자정보 압수수색: 적법한 처음과 위법한 후속,첫 이미징에 동의했고 나중에 영장도 받았으므로 전체가 적법한가?,"일련의 압수수색을 전체로 평가한다. 처음 단계의 적법성이 뒤의 위법을 없애지 않고, 이 사건 별건 영장도 위법한 기초자료와 참여권 문제를 치유하지 못했다.",M18 M25 M27 M31 M34 M42 M43 M47,이미 정의된 변경 전파를 법적 증거 배제에도 적용해야 한다. 되돌리기·삭제가 과거 위법을 소급 제거한다는 복구 논리를 사용하면 실패한다.,이미징 이후 재복제에서 참여권 보장 기록이 없다는 사실을 뒤늦게 제공한다.,재복제본만 표시하고 끝내지 않고 일련 절차와 파생 증거의 영향을 재판단한다.,미실시,825f9ab21d54fc4dab01a13451cf847d53b9791094ac57374dc16d1435731d8d,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/209207_준항고인용결정에대한재항고[전자정보에 대한 압수·수색 사건].json
C06,2017도14322,20180419,국정원 댓글: 대규모 게시물과 지휘부 공모,정치적 게시물 수만 합산하면 지휘부의 선거운동 공모가 입증되는가?,행위 당시 선거인의 관점에서 특정 선거의 당락 목적을 판단해야 한다. 지휘부 공모도 지위만이 아닌 구체적 역할과 기능적 행위지배·정황의 연결로 판단하며 엄격한 증명이 필요하다.,M07 M18 M21 M25 M34 M43 M52,대량 분류 정확도와 형사 증명 충족은 별개다. 표 수·게시물 수를 공모 확신도로 바꾸지 않는 직무 판정 계약이 필요하다.,게시물의 작성 시기와 보고 경로 일부를 정정한다.,계정 집계뿐 아니라 선거운동 판단과 상급자 공모의 근거도 갱신한다.,미실시,692f6c3df421ac17a71975cf1c3d1c86d56e1672f519a200f2426248773c7a23,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/195408_공직선거법위반ㆍ국가정보원법위반(국가정보원 사이버팀의 인터넷 댓글 게시 등 사건).json
C07,2006두330,20060316,새만금: 주민별 원고적격·환경예측·행정재량,환경위험 예측이 있으므로 주민 모두가 당연무효를 주장할 수 있는가?,영향평가 대상지역 안팎의 원고적격과 입증이 다르다. 사업 우려가 곧 중대·명백한 하자는 아니며 사정변경에 따른 취소 문제도 별도로 심사한다. 이 사건 상고는 모두 기각되었다.,M14 M18 M21 M25 M34 M43 M53 M54,환경 모형을 담을 자리는 있으나 실제 모형·관측자료와 원고별 이익 침해 증거가 없다. 판결문만으로 주민별 새 사건 승패를 확정할 수 없다.,한 원고가 영향평가 대상지역 밖 거주자로 정정된다.,전체 집단을 일괄 탈락시키지 않고 해당 원고의 구체적 환경상 이익 침해를 별도 확인한다.,미실시,3cce2434b0a74882731740d10ea3b581fbf5b038ba04cf61986a9329af958be0,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/193967_정부조치계획취소등.json
C08,2016두32992,20200903,전교조 법외노조 통보: 공식 규정 자체의 효력,공식 시행령이 법외노조 통보를 정하면 그대로 적용해야 하는가?,해당 시행령의 법외노조 통보 조항은 법률유보원칙에 반하여 무효이고 그에 기초한 통보는 위법하다고 판단했다. 공식 원문 존재와 유효한 법적 근거는 별개다.,M12 M14 M18 M21 M26 M27 M34 M43,runtime에는 공식 자료를 무조건 의무로 보지 말라는 원칙이 있다. 이를 실제 위임 근거·법적 효력 판단으로 채우고 자동 정책 검사 전에 검증해야 한다.,검색기는 시행령만 반환하고 위임 법률은 누락한다.,공식 출처라는 이유로 확정하지 않고 위임과 상위법 자료를 추가 검색한다.,미실시,ebcc6a5514ca02fdf5e8264bec1a2da01312ca25e6d90f83f11846a5050fe771,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/226511_법외노조통보처분취소[고용노동부장관의 전국교직원노동조합에 대한 법외노조 통보처분의 적법성이 문제된 사건].json
C09,2017두38874,20190711,사증 거부: 내부 전산결정·처분 방식·재량,내부 전산망의 입국금지 상태가 사증 거부의 적법성을 확정하는가?,"통보되지 않은 내부 입국금지결정은 항고소송 대상 처분이 아니었다. 사증 거부의 방식과 재량 판단을 별도 검토해야 하며, 오래된 결정을 기계적으로 따를 수 없다. 파기환송이지 사증 발급 완료가 아니다.",M16 M17 M18 M25 M27 M34 M36 M40,시스템 원천 상태가 법적 효력을 보증하지 않는다는 원칙을 행정처분 객체로 구체화해야 한다. 본문 큰 순서도의 원천 확인만 구현하면 부족하다.,전산 상태는 그대로이나 처분서 교부와 별도 비교형량 자료가 새로 들어온다.,목표가 같아도 새 자료 검증을 거쳐 해당 처분의 판단을 갱신한다.,미실시,e463d83fda635ee07b822ada38ca61c577956dd636553eacbf776b59b0298459,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/208725_사증발급거부처분취소(재외동포에 대한 입국금지결정이 있는 경우에 행정청이 그에 구속되어 아무런 재량을 행사하지 않고 사증발급 거부처분을 한 것이.json
C10,2023두36800,20240718,동성 동반자 건강보험: 평등 심사와 소급 처분,건강보험 피부양자 처분 취소를 혼인법 전체의 변경으로 일반화해도 되는가?,이 사건은 사전통지와 평등원칙에 위반한 자격상실·보험료 처분의 위법성을 다뤘다. 건강보험상 차별 심사를 일반적인 혼인 인정으로 확대할 수 없다.,M14 M18 M21 M25 M34 M42 M46,사실·해석 구분은 있으나 판시 범위를 다른 제도에 확장하지 않는 법률 적용 조건과 검사 문항이 필요하다.,사용자가 이 판결로 모든 제도에서 법률상 배우자가 되었다는 문장을 요청한다.,해당 확장을 근거 부족으로 표시하고 이 판결이 다룬 보험 처분 범위로 설명을 한정한다.,미실시,9504b422ef730786bee97cfe55afbb45abe1605649bbc8cb3ea6f95db88a1cc2,/Users/haris/Desktop/2. 프로토타입 수준/누리플렉스 법률 에이전트/[지식] 법률 데이터/한국법령/04_판례/본문/241011_보험료부과처분취소[동성 동반자에 대한 국민건강보험 피부양자 인정 여부가 문제된 사건].json
