재료ID,재료명,계통,이번 참여방식,입력,구체적인 사용,산출·근거 파일,연결 검사,미검증·한계
M01,모델,환경 — 실행 기반,조회·판단·문서 작성,"E01~E24, L01~L09, 현재 수식·재료 계약",같은 작성 모델이 사건·전략·질문·형사 및 민사 문안을 구성하고 상충하는 전제를 구분했다.,산출물/01_초기_판단_v1.md;산출물/02_통합_전략_v2.md;03_쟁점별_공격과_방어.md,,사건을 작성한 모델이 답도 작성했다. 별도 모델 API를 반복 평가하거나 독립 변호사와 비교하지 않았다.
M02,실행 순환,환경 — 실행 기반,코드로 일부 기능 실행,case.json의 initial과 events 10개,run.py가 초기 상태를 복사한 뒤 단계별 변경을 적용하고 상태 11개를 저장했다.,재현/run.py;재현/result.json,"C01,C02,C19",정해진 데이터의 상태 전개다. 모델이 다음 도구와 전략을 자율 선택하는 실행 순환·취소·비용 상한은 시험하지 않았다.
M03,저장·이어받기,환경 — 실행 기반,코드로 일부 기능 실행,"E18의 응답 불명, E19의 입금 확인, P01","결과 불명에서는 조회, 확인 후에는 영수증 재사용을 선택하도록 모의 송금 상태를 처리했다.",재현/run.py;산출물/06_협상과_주총_실행조건.md,"C09,C10",프로세스 강제 종료 뒤 디스크 복원·임대·실행 세대·실은행의 중복 방지는 미검증이다.
M04,나눠 맡기기,환경 — 실행 기반,가상 조건·설계에만 반영,E22의 적격 검토자 2명·추가 1명 승인,자금·전자자료·법률·통합 검토의 업무 분담안을 만들고 세 번째 검토자 투입을 대안으로 두었다.,산출물/02_통합_전략_v2.md;재현/result.json,"C17,C18",일정 수치는 M53으로 계산했지만 실제 하위 에이전트나 전문가에게 위임·회수한 작업은 없다.
M05,작업창,환경 — 실행 기반,가상 조건·설계에만 반영,"증거별 공개 단계, 초기 문안과 최종 문안의 기준 단계",초기 판단은 E01~E10만 참조하도록 작성하고 후속 증거를 단계별로 표시했다.,산출물/01_초기_판단_v1.md;재현/case.json,C02,코드의 공개 단계 검사만 있다. 작성자는 전 사건을 알고 있었고 실제 모델 컨텍스트를 격리·압축·복원하지 않았다.
M06,시작 신호,환경 — 실행 기반,이번 실험에서 미실행,후속 사건 10개는 파일에 순서대로 지정,인증된 외부 신호 수신 기능을 사용하지 않았다.,재현/case.json,,웹훅·예약·위조 발신·역순 수신·내구성 시험이 없다. 사건 배열 반복을 시작 신호 구현으로 세지 않는다.
M07,자료·구조 읽기,환경 — 실행 기반,조회·판단·문서 작성,"가상 증거 Markdown, JSON·CSV, 공식 법령과 판례 원문","기록의 문구·숫자·한계를 읽고 검수 집계와 원금 대사, 사실 주장과 법적 판단을 나누었다.",증거;02_법적_근거와_미확인사항.md;03_쟁점별_공격과_방어.md,,실제 은행 PDF·휴대전화·스캔 문서의 추출이나 원본 감정은 없다. E11·E12는 취득한 현실 관측이 아니라 주입한 결과다.
M08,실시간 통로,환경 — 실행 기반,이번 실험에서 미실행,기일·긴급성은 가상 사건에 포함,실시간 통로를 열거나 실시간 면담을 수행하지 않았다.,01_사건과_시험조건.md,,"음성·영상·실시간 채팅 지연, 끊김·끼어들기·즉시 정정은 미검증이다. 긴급 일정만으로 M08 사용을 주장하지 않는다."
M09,산출물 제작·편집,환경 — 실행 기반,조회·판단·문서 작성,증거 참조·쟁점·계산 결과·수신 목적,초기 판단·전략·형사 의견서·민사 답변서·질문·협상 및 주총 자문·인계 메모 7개를 실제 Markdown 파일로 작성했다.,산출물,,"파일 내용과 참조를 확인했다. DOCX·HWP 제작, 페이지 배치, 법원 제출 서식, 수신 프로그램 편집 기능은 시험하지 않았다."
M10,도구·전문 작업 환경,환경 — 실행 기반,코드로 일부 기능 실행,"로컬 파일·Python, 공식 자료 검색 및 열람 도구",파일을 생성·읽고 계산·검사 코드를 실행했다. 외부 은행 대신 네트워크 없는 사전 설정 모의 원장을 사용했다.,재현/run.py;재현/result.json,"C10,C17,C18,C22","실제 은행·법원·회사 시스템 API, 인증·라이선스·전문 도구 호환은 미연결이다."
M11,시험 환경,환경 — 실행 기반,코드로 일부 기능 실행,가상 기관·고객·은행과 case.json,실제 거래 없이 로컬 상태와 모의 원장으로 응답 유실·불리한 외부 결과를 전개했다.,재현/case.json;재현/run.py,"C09,C10",모의 함수에 실제 송금 코드가 없다는 한정이다. 환경 전체의 네트워크 차단·샌드박스 정책을 시험하지 않았다.
M12,법규·기준,자료·검색 — 사실 확인,조회·판단·문서 작성,"L01~L08의 공식 법령, 사건 기준일과 시행 표지",관련 조문 원문을 조회하고 거래 시점·현재 절차·미래 시행 표지를 구별해 근거 문서에 기록했다.,02_법적_근거와_미확인사항.md,C20,C20은 날짜 비교일 뿐 부칙·경과규정·행위별 적용법 자동 판정이 아니다. 법률 리서치 전체는 미완료다.
M13,플랫폼·기관 규정,자료·검색 — 사실 확인,가상 조건·설계에만 반영,"E02 공급계약, E09 정관·소집 가정, E16 자료 접근 통지",계약·조직 자료를 사건의 원문 역할로 놓고 출처와 가상 조건을 표시했다.,01_사건과_시험조건.md;재현/case.json,,현실의 계약·법원 실무 규정·기관 서식을 수집해 관리한 것은 아니다. 적용 제약으로 바꾸는 책임은 M28과 구분한다.
M14,해석 자료,자료·검색 — 사실 확인,조회·판단·문서 작성,L09 대법원 2013도12155 판결 원문,피해자·범죄 단위와 이득액 합산을 구별하는 판시를 참고하고 다른 거래의 결론을 그대로 이식하지 않도록 기록했다.,02_법적_근거와_미확인사항.md;산출물/03_영장심문_의견서_초안_v2.md,,후속 판례·반대 해석·모든 구성요건별 판례를 전수 확인하지 않았다.
M15,일반 자료,자료·검색 — 사실 확인,이번 실험에서 미실행,일반 논문·시장 보고서·통계가 필수 입력으로 지정되지 않음,일반 자료 저장·조회 기능을 별도로 사용하지 않았다.,02_법적_근거와_미확인사항.md,,법령·판례 조회는 M12·M14에 기록한다. 같은 자료를 M15의 별도 사용 성과로 중복 계수하지 않는다.
M16,현황 자료,자료·검색 — 사실 확인,가상 조건·설계에만 반영,E10의 현금·매각예상액·시점,현재 확정 현금과 14일 뒤 미확정 매각 유입을 구분하는 가상 현황을 설정했다.,산출물/02_통합_전략_v2.md;산출물/07_영장발부후_인계메모.md,C16,실제 시세·매각계약·납기 피드·신선도 감시는 없다. 계산은 제공된 가정만 사용한다.
M17,고객·회사 정보,자료·검색 — 사실 확인,조회·판단·문서 작성,"E01 위임, E02~E24의 당사자·거래·진술",개인·회사·배우자·업체를 구분하고 의뢰인 진술을 확정 사실로 승격하지 않은 사건 기록을 작성했다.,01_사건과_시험조건.md;증거;03_쟁점별_공격과_방어.md,,고객 시스템에서 실제 데이터를 취득하지 않았다. 작성한 가상 정보의 구조와 해석만 다룬다.
M18,출처·시점·판본,자료·검색 — 사실 확인,코드로 일부 기능 실행,증거 ID·공개 단계·해시·문서 판본·금액 목적,"증거별 시점·출처·한계를 기록하고 미래 자료 접근, 파일 변경, 과거 근거, 금액 목적 혼용을 부분 검사했다.",재현/case.json;재현/artifact_contract.json;02_법적_근거와_미확인사항.md,"C02,C05,C06,C20,C22,C23,C24",해시는 사실의 진실성을 보증하지 않는다. 금액 포함 관계와 의미 태그는 작성자가 제공했고 자동 추출하지 않았다.
M19,검색,자료·검색 — 사실 확인,조회·판단·문서 작성,횡령·배임·구속·이사 거래·소송 대표·주총 관련 질문,공식 사이트에서 조문과 판례를 검색하고 원문을 열어 근거 후보를 선택했다.,02_법적_근거와_미확인사항.md,,검색 재현율·누락률·반대 판례의 포괄성은 채점하지 않았다. 로컬 검색 엔진이나 RAG를 구현한 시험도 아니다.
M20,자동 갱신,자료·검색 — 사실 확인,가상 조건·설계에만 반영,E11·E14·E17·E23의 변경,원천과 절차 변경이 관련 상태·판단의 재검토를 유발하도록 사건을 설계했다.,04_단계별_결정과_수정.md;재현/case.json,"C03,C19",자동 외부 감시·변경 탐지는 없다. 전달된 변경의 일부 전파는 M25 코드가 수행했다.
M21,업무 지식,지식·경험 — 전문성,조회·판단·문서 작성,L01~L09와 I01~I18,"지급·경유·손해·이득액, 수임과 회사 대표, 보통·특별결의, 기소 전·후 절차를 구별해 질문·계산·문안을 구성했다.",03_쟁점별_공격과_방어.md;산출물/03_영장심문_의견서_초안_v2.md;산출물/04_민사_답변서_초안_v2.md,"C05,C06,C12,C13,C14,C19",산식 검산 외에 실제 요건 충족·입증·죄수·법률상 손해·이득액의 최종 판단은 검증되지 않았다.
M22,감각·사례·암묵지,지식·경험 — 전문성,이번 실험에서 미실행,숙련 변호사의 관찰·면담·비교 결정 자료 없음,전문가 암묵지를 별도 추출·입력하지 않았다.,05_실험결과와_보완판정.md,,작성 모델이 그럴듯한 전략을 제시한 것을 로펌 전문가의 실제 암묵지 확보로 세지 않는다.
M23,정체성·작풍,지식·경험 — 전문성,조회·판단·문서 작성,내부 전략 메모·형사 의견서·민사 답변서·후속 인계의 목적,문서 목적에 맞춰 요청·다툼·확인·인계의 표현을 달리하고 확정되지 않은 사실의 단정을 피했다.,산출물,,특정 로펌의 작풍을 재현하거나 필자·고객의 독립 평가를 받은 것은 아니다.
M24,장기 기억,기억·상태,이번 실험에서 미실행,사건 기록은 로컬 파일에 저장,다른 세션·다음 사건의 장기 기억 조회를 실행하지 않았다.,재현/case.json,,파일 보존·재현은 M47에 기록한다. 장기 기억 승격·삭제·고객 격리·회상 정확성은 미검증이다.
M25,작업 기억·의존관계,기억·상태,코드로 일부 기능 실행,"initial, events, 문서의 depends·basis·phases",11개 상태를 유지하고 납품 정정 시 구판을 stale로 표시했다. 문안의 근거값과 현재 상태 및 절차를 대조했다.,재현/run.py;재현/result.json;재현/artifact_contract.json,"C01,C03,C04,C19,C23,C24",의존은 명시된 일부 필드다. 사건 전체의 법적 의미 의존을 자동 발견하거나 문안 본문을 자동 재작성한 것은 아니다.
M26,절대 원칙,규칙·권한,조회·판단·문서 작성,개인 위임·불리한 증거·무권한 약속 가능성,증거 은폐·진술 맞추기·무권한 처분·성과 과장을 방어 전략에서 배제하는 원칙을 문안에 적용했다.,산출물/02_통합_전략_v2.md;산출물/05_면담_신문_확인질문.md,,정책 전체의 자동 집행·공격 및 정상 업무의 헛막음 비율을 측정하지 않았다.
M27,직업 규칙,규칙·권한,조회·판단·문서 작성,"E01·E10·E13·E16, L08",개인만 대리하며 회사와 개인의 이해충돌·비밀·증거 공개 범위를 나누었다. 불리한 내부 자료를 자동 외부 첨부하지 않았다.,산출물/03_영장심문_의견서_초안_v2.md;산출물/07_영장발부후_인계메모.md,"C07,C24",실제 수임 가능성·비밀 예외·절차상 의무의 완결된 전문 심사는 없다. C07은 사전 지정 수신자 목록의 검사다.
M28,계약·플랫폼 규칙,규칙·권한,조회·판단·문서 작성,E02 계약·E09 정관·E18 지급 승인 조건·E20 거절,기한·정산·안건·일부 지급과 포괄 합의의 조건을 분리해 계획·문서에 반영했다.,산출물/04_민사_답변서_초안_v2.md;산출물/06_협상과_주총_실행조건.md,"C11,C14",가상 계약 조건 적용이다. 실제 계약 해석·모든 존속 의무·외부 제출 조건을 확정하지 않았다.
